RunDate,RunTime,PremiseId,Year,RateClass,Strata,RecipeICap
2016-09-29,14:18,3917409005,2015,GS3,GS3,325.525
2016-09-29,14:18,1382115050,2014,GS1,GS1,0.
2016-09-29,14:18,1382115050,2015,GS1,GS1,1.28261
2016-09-29,14:18,2422090008,2014,GS1,GS1,0.
2016-09-29,14:18,2808073003,2014,GS3,GS3,0.
2016-09-29,14:18,2808073003,2015,GS3,GS3,103.377
2016-09-29,14:18,5598135002,2014,GS3,GS3,0.
2016-09-29,14:18,6421056051,2014,GS1,GS1,0.
2016-09-29,14:18,6421056051,2015,GS1,GS1,20.885
2016-09-29,14:18,9847192008,2014,GS3,GS3,0.
2016-09-29,14:18,9847192008,2015,GS3,GS3,132.369
2016-09-29,14:18,0757625095,2014,GS3,GS3,0.
2016-09-29,14:18,8084003009,2014,GS1,GS1,0.
2016-09-29,14:18,8084003009,2015,GS1,GS1,0.327353
2016-09-29,14:18,9808641008,2014,GS1,GS1,0.
2016-09-29,14:18,9808641008,2015,GS1,GS1,0.
2016-09-29,14:18,7547001004,2014,GS1,GS1,0.
2016-09-29,14:18,7547001004,2015,GS1,GS1,0.
2016-09-29,14:18,9007010003,2014,GS1,GS1,0.
2016-09-29,14:18,9007010003,2015,GS1,GS1,0.
2016-09-29,14:18,1501002009,2014,GS1,GS1,0.
2016-09-29,14:18,1501002009,2015,GS1,GS1,0.
2016-09-29,14:18,2600031009,2014,GS1,GS1,0.
2016-09-29,14:18,2600031009,2015,GS1,GS1,0.
2016-09-29,14:18,3801017008,2014,GS1,GS1,0.
2016-09-29,14:18,3801017008,2015,GS1,GS1,0.
2016-09-29,14:18,3981008005,2014,GS1,GS1,0.
2016-09-29,14:18,3981008005,2015,GS1,GS1,0.
2016-09-29,14:18,4021027005,2014,GS1,GS1,0.
2016-09-29,14:18,4021027005,2015,GS1,GS1,0.
2016-09-29,14:18,4881002002,2014,GS1,GS1,0.
2016-09-29,14:18,4881002002,2015,GS1,GS1,0.
2016-09-29,14:18,5240034007,2014,GS1,GS1,0.
2016-09-29,14:18,5240034007,2015,GS1,GS1,0.
2016-09-29,14:18,5961021111,2014,GS1,GS1,0.
2016-09-29,14:18,5961021111,2015,GS1,GS1,0.
2016-09-29,14:18,6401008004,2014,GS1,GS1,0.
2016-09-29,14:18,6401008004,2015,GS1,GS1,0.
2016-09-29,14:18,7342010009,2014,GS1,GS1,0.
2016-09-29,14:18,7342010009,2015,GS1,GS1,0.
2016-09-29,14:18,7485024009,2014,GS1,GS1,0.
2016-09-29,14:18,7625022001,2014,GS1,GS1,0.
2016-09-29,14:18,7625022001,2015,GS1,GS1,0.
2016-09-29,14:18,7744003000,2014,GS1,GS1,0.
2016-09-29,14:18,7744003000,2015,GS1,GS1,0.
